SID,Last_successful,Error,Prompt,After_prompt,IHC_single,IHC_final,FHC_single,FHC_final,Special_count,Notes,Exclude_trial,Exclude_trial_reason
sf-math-28,100,IDK,101,"""I feel like this is all the #s""",26,26,100,100,0,,0,
sf-math-31,21,20-30,22,23,21,21,28,28,0,,0,
sf-math-31,26,29,27,28,21,21,28,28,0,,0,
sf-math-31,28,20-30,29,20-30,21,21,28,28,0,,0,
sf-math-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,Did not perform HC
sf-math-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,Did not perform HC
sf-math-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,Did not perform HC
sf-math-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,Did not perform HC
sf-math-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,Did not perform HC
sf-math-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,Did not perform HC
sf-math-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,Did not perform HC
sf-math-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,Did not perform HC
sf-math-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,Did not perform HC
sf-math-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,Did not perform HC
sf-math-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,Did not perform HC/too young
sf-math-23,49,20,50,51,49,49,67,67,0,,1,too young and no video on server
sf-math-23,59,20,60,61,49,49,67,67,0,,1,too young and no video on server
sf-math-23,67,69,68,60,49,49,67,67,0,,1,too young and no video on server
sf-math-16,14,16,15,19,14,14,29,14,,,0,
sf-math-16,29,IDK,30,13,14,14,29,14,,,1,Made error immediately after prompt
sf-math-17,26,28,27,27,26,26,46,46,,,0,
sf-math-17,35,60,36,37,26,26,46,46,,,0,
sf-math-17,46,48,47,49,26,26,46,46,,,0,
sf-math-37,29,27,30,31,29,29,32,32,,,0,
sf-math-37,32,34,33,IDK,29,29,32,32,,,0,
sf-math-40,9,IDK,10,10...,9,9,39,39,,,0,
sf-math-40,20,26,21,21...,9,9,39,39,,,0,
sf-math-40,25,30,26,26...,9,9,39,39,,,0,
sf-math-40,29,20-30,30,"1,2,3",9,9,39,39,1,started counting from 1,0,
sf-math-40,25,IDK,26,26...,9,9,39,39,,,1,"started counting from 1, made same error twice"
sf-math-40,30,34,31,31...,9,9,39,39,,,0,
sf-math-40,39,30,40,stopped,9,9,39,39,,,0,
sf-math-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,No HC
sf-math-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,No HC
sf-math-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,No HC
sf-math-10,39,IDK,40,41,39,39,48,48,,,0,
sf-math-10,48,IDK,49,SILENT,39,39,48,48,,,0,
sf-math-10,49,IDK,50,51,39,39,48,48,,,1,Unable to continue after prompt
sf-math-11,14,16,15,17,14,14,14,14,,,0,
sf-math-11,15,17,16,16,14,14,14,14,,,1,Child wrong after prompt 
sf-math-11,28,9,NA,NA,14,14,14,14,,,1,Child wrong after prompt 
sf-math-14,13,16,14,19,13,13,13,13,,,0,
sf-math-9,29,IDK,30,31,29,29,99,99,,,0,
sf-math-9,39,IDK,40,41,29,29,99,99,,,0,
sf-math-9,69,IDK,70,71,29,29,99,99,,,0,
sf-math-9,79,30,80,81,29,29,99,99,,,0,
sf-math-9,89,IDK,90,90,29,29,99,99,,,0,
sf-math-9,99,IDK,100,102,29,29,99,99,,,0,
sf-math-8,19,21,20,20,19,19,89,89,,,0,
sf-math-8,29,Silent,30,31,19,19,89,89,,,0,
sf-math-8,39,IDK,40,41,19,19,89,89,,,0,
sf-math-8,49,IDK,50,51,19,19,89,89,,,0,
sf-math-8,59,IDK,60,61,19,19,89,89,,,0,
sf-math-8,69,IDK,70,71,19,19,89,89,,,0,
sf-math-8,73,77,74,75,19,19,89,89,,,0,
sf-math-8,79,IDK,80,81,19,19,89,89,,,0,
sf-math-8,84,IDK,85,86,19,19,89,89,,,0,
sf-math-8,89,IDK,90,99,19,19,89,89,,,0,
sf-math-15,29,28,30,29,29,29,35,35,,,1,No HC recording
sf-math-15,35,IDK,36,NA,29,29,35,35,,"Camera stopped, this is taken from data sheet ",1,No HC recording
sf-math-7,35,30-30,36,37,35,35,42,42,,,0,
sf-math-7,42,44,44,IDK,35,35,42,42,,,0,
sf-math-61,65,67,Exp didn't notice,exp didn't notice,65,65,111,111,,,0,
sf-math-61,67,IDK,68,69,65,65,111,111,,,0,
sf-math-61,86,70,87,88,65,65,111,111,,,0,
sf-math-61,109,2000,110,110,65,65,111,111,,,0,
sf-math-61,111,113,112,stopped,65,65,111,111,,,0,
sf-math-59,114,15,115,116,114,114,120,120,,,0,
sf-math-59,120,NA,NA,NA,114,114,120,120,, ,0,
sf-math-57,39,31,40,41,39,39,69,69,,,0,
sf-math-57,43,41,44,45,39,39,69,69,,,0,
sf-math-57,49,40,50,51,39,39,69,69,,,0,
sf-math-57,59,50,60,61,39,39,69,69,,,0,
sf-math-57,69,IDK,70,stopped,39,39,69,69,,,0,
sf-math-54,109,1000,110,111,109,109,120,120,,,0,
sf-math-54,120,NA,NA,NA,109,109,120,120,,,0,
sf-math-52,39,50,40,41,39,39,48,48,,,0,
sf-math-52,48,40-10,49,silent ,39,39,48,48,,,0,
sf-math-52,50,stopped ,stopped ,stopped ,39,39,48,48,,,0,
sf-math-5,29,20-10,30,31,29,29,69,69,,struggles saying 30's ,0,
sf-math-5,39,IDK,40,41,29,29,69,69,,struggles saying 30's ,0,
sf-math-5,49,IDK,50,51,29,29,69,69,,,0,
sf-math-5,59,IDK,60,61,29,29,69,69,,,0,
sf-math-5,69,IDK,70,78,29,29,69,69,,,0,
sf-math-2,7,9,NA,NA,7,7,14,14,,exp. did not catch mistake ,0,
sf-math-2,14,16,15,1...,7,7,14,14,1,child started over,0,
sf-math-2,14,IDK,15,20,7,7,14,14,,mistake immediately after prompt,1,"started over, made same mistake twice"
sf-math-3,33,40,34,35,33,33,100,100,,,0,
sf-math-3,39,90,40,41,33,33,100,100,,,0,
sf-math-3,49,30,50,51,33,33,100,100,,,0,
sf-math-3,59,IDK,60,61,33,33,100,100,,,0,
sf-math-3,69,90,70,71,33,33,100,100,,,0,
sf-math-3,75,30,76,77,33,33,100,100,,,0,
sf-math-3,79,30,80,81,33,33,100,100,,,0,
sf-math-3,100,IDK,101,wanted to stop,33,33,100,100,,,0,
sf-math-1,69,80,70,71,69,69,119,119,,,0,
sf-math-1,119,IDK,120,stopped,69,69,119,119,,,0,
sf-math-219,NA,NA,NA,NA,NA,NA,NA,NA,,,1,Did not perform HC (not CP-knower)
sf-math-218,NA,NA,NA,NA,NA,NA,NA,NA,,,1,Did not perform HC (not CP-knower)
sf-math-217,NA,NA,NA,NA,NA,NA,NA,NA,,,1,Did not perform HC (not CP-knower)
sf-math-216,NA,NA,NA,NA,NA,NA,NA,NA,,,1,Did not perform HC (not CP-knower)
sf-math-207,NA,NA,NA,NA,NA,NA,NA,NA,,,1,Did not perform HC (not CP-knower)
sf-math-206,NA,NA,NA,NA,NA,NA,NA,NA,,,1,Did not perform HC (not CP-knower)
sf-math-205,NA,NA,NA,NA,NA,NA,NA,NA,,,1,Did not perform HC (not CP-knower)
sf-math-204,NA,NA,NA,NA,NA,NA,NA,NA,,,1,Did not perform HC (not CP-knower)
sf-math-203,NA,NA,NA,NA,NA,NA,NA,NA,,,1,Did not perform HC (not CP-knower)
sf-math-202,NA,NA,NA,NA,NA,NA,NA,NA,,,1,Did not perform HC (not CP-knower)
sf-math-201,NA,NA,NA,NA,NA,NA,NA,NA,,,1,Did not perform HC (not CP-knower)
sf-math-199,NA,NA,NA,NA,NA,NA,NA,NA,,,1,Did not perform HC (not CP-knower)
sf-math-200,NA,NA,NA,NA,NA,NA,NA,NA,,,1,Did not perform HC (not CP-knower)
sf-math-197,20,IDK,21,1,20,20,20,20,1,,0,
sf-math-198,49,40,50,50,49,49,109,109,,,0,
sf-math-198,59,30,60,60,49,49,109,109,,,0,
sf-math-198,69,IDK,70,70,49,49,109,109,,,0,
sf-math-198,89,100,90,90,49,49,109,109,,,0,
sf-math-198,109,IDK,110,110-1,49,49,109,109,,,0,
sf-math-198,109,,111,111,49,49,109,109,,,1,mistake immediately after prompt
sf-math-198,111,211,,,49,49,109,109,,,1,mistake immediately after prompt
sf-math-208,49,30,50,1,49,49,49,49,1,,0,
sf-math-208,49,40,50,1,49,49,49,49,1,,1,child started over
sf-math-208,49,30,stopped,stopped,49,49,49,49,,,1,child started over
sf-math-209,39,IDK,40,41,39,39,109,109,,,0,
sf-math-209,49,IDK,50,51,39,39,109,109,,,0,
sf-math-209,59,IDK,60,61,39,39,109,109,,,0,
sf-math-209,69,IDK,70,71,39,39,109,109,,,0,
sf-math-209,79,100,80,81,39,39,109,109,,,0,
sf-math-209,100,1 million,101,101,39,39,109,109,,,0,
sf-math-209,109,IDK,110,101,39,39,109,109,,,0,
sf-math-209,109,IDK,stopped,stopped,39,39,109,109,,,1,same mistake after prompt
sf-math-210,49,40,50,51,49,49,56,56,,,0,
sf-math-210,55,59,56,56,49,49,56,56,,,0,
sf-math-210,56,58,stopped,stopped,49,49,56,56,,,1,mistake immediately after prompt
sf-math-211,19,6,20,7,19,19,19,19,,,0,
sf-math-212,20,22,21,21,20,20,29,29,,,0,
sf-math-212,29,23,30,IDK,20,20,29,29,,,0,
NA,10,9,11,6,10,10,10,10,,,1,no other data
sf-math-214,12,IDK,13,13,12,12,29,29,,,0,
sf-math-214,29,20-10,30,22,12,12,29,29,,,0,
sf-math-215,29,20-10,30,stopped,29,29,29,29,,,0,
sf-math-220,39,70,40,40,39,39,89,89,,,0,
sf-math-220,49,90,50,51,39,39,89,89,,,0,
sf-math-220,59,70,60,60,39,39,89,89,,,0,
sf-math-220,69,IDK,70,70,39,39,89,89,,,0,
sf-math-220,74,78,75,75,39,39,89,89,,,0,
sf-math-220,79,100,80,80,39,39,89,89,,,0,
sf-math-220,89,100,90,IDK,39,39,89,89,,,0,
sf-math-221,39,IDK,40,41,39,39,109,109,,,0,
sf-math-221,59,30,60,61,39,39,109,109,,,0,
sf-math-221,79,60,80,81,39,39,109,109,,,0,
sf-math-221,89,IDK,90,91,39,39,109,109,,,0,
sf-math-221,109,IDK,110,stopped,39,39,109,109,,,0,
sf-math-222,24,IDK,25,stopped,24,24,24,24,,,0,
sf-math-223,117,120,118,118,117,117,120,120,,,0,
sf-math-224,12,9,13,13,14,14,35,35,,,1,"child correctly counted to 14 but experimentor misheard, child answered incorrectly when experimentor stopped him and asked what comes after 12"
sf-math-224,14,16,15,15,14,14,35,35,,,0,
sf-math-224,26,28,27,27,14,14,35,35,,,0,
sf-math-224,29,30-15,30,31,14,14,35,35,,,0,
sf-math-224,35,37,36,39,14,14,35,35,,,0,
sf-math-225,100,200,101,102,100,100,120,120,,,0,
sf-math-225,109,IDK,110,111,100,100,120,120,,,0,
sf-math-226,12,14,13,IDK,12,12,12,12,,,0,
sf-math-226,12,13,14,stopped,12,12,12,12,,,1,mistake immediately after prompt
sf-math-227,10,9,11,11,10,10,49,49,,,1,child already participated in 95 on 4/20/18
sf-math-227,40,42,41,41,10,10,49,49,,,1,child already participated in 95 on 4/20/18
sf-math-227,49,IDK,50,15,10,10,49,49,,,1,child already participated in 95 on 4/20/18
sf-math-227,49,15,51,51,10,10,49,49,,,1,child already participated in 95 on 4/20/18; mistake immediately after prompt
sf-math-227,59,50,60,65,10,10,49,49,,,1,child already participated in 95 on 4/20/18; mistake immediately after prompt
sf-math-231,NA,NA,NA,NA,NA,NA,NA,NA,,,1,Did not perform HC (not CP-knower)
sf-math-229,11,13,12,13,11,11,15,15,,,0,
sf-math-229,15,17,NA,NA,11,11,15,15,,,0,"Experimentor missed error, asked child what came after 14 instead"
sf-math-229,14,13,15,17,11,11,15,15,,,0,
sf-math-230,69,30,70,71,69,69,111,111,,,0,
sf-math-230,79,40,80,81,69,69,111,111,,,0,
sf-math-230,89,100,90,91,69,69,111,111,,,0,
sf-math-230,109,IDK,110,110,69,69,111,111,,,0,
sf-math-230,111,IDK,112,111,69,69,111,111,,,0,
sf-math-228,6,4,7,8,6,6,11,11,,,0,
sf-math-228,10,IDK,11,11,6,6,11,11,,,0,
sf-math-228,11,IDK,stopped,NA,6,6,11,11,,,0,
sf-math-232,20,IDK,21,21,20,20,29,29,,twenties sound like thirties ,0,
sf-math-232,29,20-10,30,IDK,20,20,29,29,,,0,
